Particulars,Actuals 2020-2021,Budget Estimates 2021-2022 Total,Revised Estimates 2021-2022,Budget Estimates 2022-2023 Total
Department of Agriculture and Farmers Welfare,108272.83,123017.57,118294.24,124000
Department of Agricultural Research and Education,7553.77,8513.62,8513.62,8513.62
Atomic Energy,15196.24,18264.89,22707.21,22723.58
Ministry of Ayush,2126.46,2970.3,2664.42,3050
Department of Chemicals and Petrochemicals,292.83,233.14,209,209
Department of Fertilisers,128761.15,80011.39,140703.28,105262.23
Department of Pharmaceuticals,456.01,470.41,823.11,2244.15
Ministry of Civil Aviation,4088.57,3224.67,72652,10667
Ministry of Coal,571.64,534.88,644.09,393.24
Department of Commerce,3155.97,4986.01,7421,6073
Department for Promotion of Industry and Internal Trade,7528.54,7782.24,8382,8348
Department of Posts,18592.72,16528.22,18966.87,20820.02
Department of Telecommunications,42310.2,58737,35550.21,84586.8
Department of Consumer Affairs,11365.47,2974.1,2453.64,1724.88
Department of Food and Public Distribution,555431.7,253974.3,302000,215959.58
Ministry of Cooperation,...,...,...,900
Ministry of Corporate Affairs,652.58,712.13,659.75,733.02
Ministry of Culture,2135.18,2687.99,2665,3009.05
Ministry of Defence (Civil),17521.26,15257.34,17587.41,20100
Defence Services (Revenue),205788.59,212027.56,229567.23,233000.54
Capital Outlay on Defence Services,134304.92,135060.72,138850.9,152369.61
Defence Pensions,128065.77,115850,116878,119696
Ministry of Development of North Eastern Region,1853.66,2658,2658,2800
Ministry of Earth Sciences,1274.54,1897.13,2369.54,2653.51
Department of School Education and Literacy,51841.64,54873.66,51969.95,63449.37
Department of Higher Education,32377.76,38350.65,36031.57,40828.35
Ministry of Electronics and Information Technology,5396.3,9720.66,9581.25,14300
"Ministry of Environment, Forests and Climate Change",1966.92,2869.93,2520,3030
Ministry of External Affairs,14329.23,18154.73,16000,17250
Department of Economic Affairs,13258.53,61128.18,15616.1,14540.26
Department of Expenditure,289.16,454.74,459.57,476.89
Department of Financial Services,22766.5,29510.79,35071.87,5313.73
Department of Public Enterprises,16.11,21.81,177,30
Department of Investment and Public Asset Management (DIPAM),71.72,110.52,96.88,290.42
Department of Revenue,131662.53,101235.38,111905.44,121231.29
Direct Taxes,7396.38,8530.34,8506.89,9306.8
Indirect Taxes,7380.12,21334.77,74938.49,41138.67
Indian Audit and Accounts Department,4740.43,5092.14,5104.64,5620.14
Interest Payments,679868.58,809701.32,813791,940651.02
Pensions,62724.63,55873.12,63005.12,65840.81
Transfers to States,211474.7,293302,285394.23,334339.42
Department of Fisheries,882.63,1220.84,1407.29,2118.47
Department of Animal Husbandry and Dairying,2463.54,3101.98,2713.75,3918.84
Ministry of Food Processing Industries,1145.52,1308.66,1304.12,2941.99
Department of Health and Family Welfare,77569.33,71268.77,82920.65,83000
Department of Health Research,3124.59,2663,3080,3200.65
Ministry of Heavy Industries,866.9,995.27,1181,3306
Ministry of Home Affairs,3855.72,7620.4,4558.61,7621
Cabinet,1186.08,2098.04,1725,1711.04
Police,91610.65,103802.52,109266.3,117687.99
Andaman and Nicobar Islands,4824.59,5317.41,5923.64,5703.65
Chandigarh,4223.66,4661.12,4428.25,4846.79
Dadra and Nagar Haveli and Daman and Diu,1378.55,2204.59,2312.8,2374.1
Ladakh,2373.74,5958,5958,5958
Lakshadweep,1232.16,1440.56,1296.26,1394.75
Transfers to Delhi,1112.49,957.51,1030.01,1168
Transfers to Jammu and Kashmir,30757,30757,34704.46,35581.44
Transfers to Puducherry,1703,1729.79,1879.79,1729.79
Ministry of Housing and Urban Affairs,46700.96,54581,73850.26,76549.46
Ministry of Information and Broadcasting,3376.62,4071.23,3764.69,3980.77
"Department of Water Resources, River Development an",7232.09,9022.57,18008.7,18967.88
Department of Drinking Water and Sanitation,15967.3,60030.45,51036.9,67221.12
Ministry of Labour and Employment,12920.37,13306.5,14248.72,16893.68
Law and Justice,1557.3,2645.82,4211,3393.48
Election Commission,193.49,249.16,259,260
Supreme Court of India,328,334.96,350.86,401.46
"Ministry of Micro, Small and Medium Enterprises",5455.27,15699.65,15699.65,21422
Ministry of Mines,1347.87,1466.82,1480,1508
Ministry of Minority Affairs,3920.29,4810.77,4346.45,5020.5
Ministry of New and Renewable Energy,2643.3,5753,7681.8,6900.68
Ministry of Panchayati Raj,686.26,913.43,868.38,868.57
Ministry of Parliamentary Affairs,28.98,65.07,65,66.4
"Ministry of Personnel, Public Grievances and Pensions",1641.51,2058.57,1950,2337.18
Central Vigilance Commission,33.49,38.67,38.63,41.96
Ministry of Petroleum and Natural Gas,42189.88,15943.78,8846.13,8939.86
Ministry of Planning,748.68,1062.77,1070.78,321.42
"Ministry of Ports, Shipping and Waterways",1387.7,1702.35,1585.37,1709.5
Ministry of Power,10581.92,15322,15322,16074.74
"Staff, Household and Allowances of the President",68.13,74.47,70,79.45
Lok Sabha,559.79,855,700.45,800
Rajya Sabha,346.51,446.5,405.54,430.96
Secretariat of the Vice-President,5.93,7.43,7.31,8.64
Union Public Service Commission,284.94,304.17,316.18,330.58
Ministry of Railways,112159.32,110054.64,120056.12,140367.13
Ministry of Road Transport and Highways,99159.09,118101,131149.07,199107.71
Department of Rural Development,196416.71,131519.08,153558.07,135944.29
Department of Land Resources,1175.98,2170.42,1484.52,2259.34
Department of Science and Technology,4893.56,6067.39,5240,6000
Department of Biotechnology,2259.1,3502.37,2961,2581
Department of Scientific and Industrial Research,4198.82,5224.27,5297.72,5636.46
Ministry of Skill Development and Entrepreneurship,2625.41,2785.23,2785.23,2999
Department of Social Justice and Empowerment,8065.03,10517.62,10180,11922.51
Department of Empowerment of Persons with Disabilities,852.52,1171.77,1044.31,1212.42
Department of Space,9474.41,13949.09,12642,13700
Ministry of Statistics and Programme Implementation,2423.26,1409.13,3737,5398.08
Ministry of Steel,74.31,39.25,43,47
Ministry of Textiles,3109.45,3631.64,11449.32,12382.14
Ministry of Tourism,1096.82,2026.77,969.8,2400
Ministry of Tribal Affairs,5494.51,7524.87,6181.3,8451.92
Ministry of Women and Child Development,19231.06,24435,23200,25172.28
Ministry of Youth Affairs and Sports,1748.45,2596.14,2757.02,3062.6
Grand total,3509836.38,3483235.63,3769999.73,3944908.67
